Symbol	Name	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
ZC3H13	zinc finger CCCH-type containing 13	397 / 6,931 (5.73%)	397 / 13,035,TCGA-UCEC: 74 / 530 (13.96%),TCGA-COAD: 43 / 400 (10.75%),TCGA-STAD: 42 / 440 (9.55%),HCMI-CMDC: 8 / 109 (7.34%),TCGA-LUAD: 30 / 567 (5.29%),TCGA-READ: 7 / 137 (5.11%),TCGA-ESCA: 9 / 184 (4.89%),TCGA-SKCM: 21 / 469 (4.48%),TCGA-BLCA: 18 / 412 (4.37%),TCGA-CESC: 12 / 289 (4.15%),CPTAC-2: 13 / 328 (3.96%),TCGA-LUSC: 14 / 495 (2.83%),TCGA-DLBC: 1 / 37 (2.70%),CPTAC-3: 18 / 778 (2.31%),TCGA-ACC: 2 / 92 (2.17%),TCGA-LAML: 3 / 144 (2.08%),TCGA-UCS: 1 / 57 (1.75%),CMI-MBC: 3 / 174 (1.72%),TCGA-OV: 7 / 436 (1.61%),TCGA-GBM: 6 / 393 (1.53%),TCGA-KIRP: 4 / 281 (1.42%),TCGA-LIHC: 5 / 364 (1.37%),TCGA-BRCA: 13 / 986 (1.32%),MMRF-COMMPASS: 12 / 959 (1.25%),TCGA-UVM: 1 / 80 (1.25%),TCGA-PRAD: 6 / 498 (1.20%),TCGA-KIRC: 4 / 336 (1.19%),TCGA-HNSC: 6 / 508 (1.18%),TCGA-THCA: 5 / 492 (1.02%),TARGET-NBL: 2 / 219 (0.91%),TCGA-SARC: 2 / 237 (0.84%),TCGA-THYM: 1 / 123 (0.81%),TCGA-LGG: 3 / 510 (0.59%),TCGA-PAAD: 1 / 182 (0.55%)	197 / 6,961 (2.83%)	896 / 6,961 (12.87%)	435		
KIAA1429	KIAA1429	380 / 6,931 (5.48%)	380 / 13,035,TCGA-UCEC: 58 / 530 (10.94%),TCGA-SKCM: 39 / 469 (8.32%),TCGA-COAD: 30 / 400 (7.50%),TCGA-STAD: 30 / 440 (6.82%),TCGA-BLCA: 26 / 412 (6.31%),TCGA-READ: 8 / 137 (5.84%),CPTAC-2: 15 / 328 (4.57%),TCGA-LUSC: 21 / 495 (4.24%),TCGA-LUAD: 24 / 567 (4.23%),TCGA-UCS: 2 / 57 (3.51%),TCGA-CESC: 10 / 289 (3.46%),TCGA-HNSC: 16 / 508 (3.15%),TCGA-KICH: 2 / 66 (3.03%),HCMI-CMDC: 3 / 109 (2.75%),CPTAC-3: 21 / 778 (2.70%),TCGA-GBM: 9 / 393 (2.29%),TCGA-ESCA: 4 / 184 (2.17%),TCGA-CHOL: 1 / 51 (1.96%),CMI-MBC: 3 / 174 (1.72%),TCGA-SARC: 4 / 237 (1.69%),TCGA-LIHC: 6 / 364 (1.65%),TCGA-BRCA: 16 / 986 (1.62%),CGCI-HTMCP-CC: 1 / 84 (1.19%),TCGA-PAAD: 2 / 182 (1.10%),TCGA-ACC: 1 / 92 (1.09%),MMRF-COMMPASS: 10 / 959 (1.04%),TCGA-LGG: 5 / 510 (0.98%),TCGA-KIRP: 2 / 281 (0.71%),TCGA-LAML: 1 / 144 (0.69%),TCGA-OV: 3 / 436 (0.69%),TCGA-PRAD: 3 / 498 (0.60%),TCGA-KIRC: 2 / 336 (0.60%),TCGA-THCA: 2 / 492 (0.41%)	787 / 6,961 (11.31%)	229 / 6,961 (3.29%)	419		
ADARB2	adenosine deaminase, RNA-specific, B2 (non-functional)	368 / 6,931 (5.31%)	368 / 13,035,TCGA-UCEC: 52 / 530 (9.81%),TCGA-SKCM: 40 / 469 (8.53%),TCGA-DLBC: 3 / 37 (8.11%),TCGA-READ: 9 / 137 (6.57%),CMI-ASC: 2 / 36 (5.56%),TCGA-LUSC: 25 / 495 (5.05%),TCGA-LUAD: 27 / 567 (4.76%),TCGA-COAD: 19 / 400 (4.75%),TCGA-STAD: 20 / 440 (4.55%),CPTAC-2: 14 / 328 (4.27%),CPTAC-3: 28 / 778 (3.60%),TCGA-GBM: 14 / 393 (3.56%),TCGA-CESC: 10 / 289 (3.46%),TCGA-BLCA: 13 / 412 (3.16%),TCGA-ESCA: 5 / 184 (2.72%),MMRF-COMMPASS: 25 / 959 (2.61%),TCGA-SARC: 6 / 237 (2.53%),TCGA-LIHC: 9 / 364 (2.47%),TCGA-ACC: 2 / 92 (2.17%),TCGA-HNSC: 10 / 508 (1.97%),TCGA-CHOL: 1 / 51 (1.96%),HCMI-CMDC: 2 / 109 (1.83%),TCGA-UCS: 1 / 57 (1.75%),TCGA-PAAD: 3 / 182 (1.65%),TCGA-OV: 5 / 436 (1.15%),TCGA-BRCA: 11 / 986 (1.12%),TCGA-PRAD: 4 / 498 (0.80%),TCGA-LGG: 3 / 510 (0.59%),TCGA-PCPG: 1 / 179 (0.56%),TARGET-NBL: 1 / 219 (0.46%),TCGA-KIRP: 1 / 281 (0.36%),TCGA-KIRC: 1 / 336 (0.30%),TCGA-THCA: 1 / 492 (0.20%)	525 / 6,961 (7.54%)	328 / 6,961 (4.71%)	379		
PCF11	PCF11 cleavage and polyadenylation factor subunit	348 / 6,931 (5.02%)	348 / 13,035,TCGA-UCEC: 61 / 530 (11.51%),TCGA-COAD: 30 / 400 (7.50%),TCGA-SKCM: 25 / 469 (5.33%),TCGA-STAD: 22 / 440 (5.00%),TCGA-KIRP: 14 / 281 (4.98%),TCGA-BLCA: 20 / 412 (4.85%),TCGA-LUAD: 23 / 567 (4.06%),TCGA-CHOL: 2 / 51 (3.92%),TCGA-LUSC: 19 / 495 (3.84%),TCGA-CESC: 10 / 289 (3.46%),CPTAC-2: 11 / 328 (3.35%),TCGA-READ: 4 / 137 (2.92%),HCMI-CMDC: 3 / 109 (2.75%),TCGA-DLBC: 1 / 37 (2.70%),CPTAC-3: 21 / 778 (2.70%),TCGA-SARC: 6 / 237 (2.53%),MMRF-COMMPASS: 21 / 959 (2.19%),TCGA-KIRC: 6 / 336 (1.79%),TARGET-ALL-P3: 1 / 56 (1.79%),TCGA-UCS: 1 / 57 (1.75%),TCGA-LAML: 2 / 144 (1.39%),TCGA-HNSC: 7 / 508 (1.38%),TCGA-BRCA: 12 / 986 (1.22%),TCGA-OV: 5 / 436 (1.15%),TCGA-LIHC: 4 / 364 (1.10%),TCGA-PAAD: 2 / 182 (1.10%),TCGA-ACC: 1 / 92 (1.09%),TCGA-GBM: 4 / 393 (1.02%),TCGA-PRAD: 5 / 498 (1.00%),TCGA-LGG: 3 / 510 (0.59%),CMI-MBC: 1 / 174 (0.57%),TCGA-ESCA: 1 / 184 (0.54%)	567 / 6,961 (8.15%)	173 / 6,961 (2.49%)	400		
ADAR	adenosine deaminase, RNA-specific	309 / 6,931 (4.46%)	309 / 13,035,TCGA-UCEC: 69 / 530 (13.02%),TCGA-STAD: 28 / 440 (6.36%),TCGA-COAD: 21 / 400 (5.25%),TCGA-BLCA: 20 / 412 (4.85%),TCGA-SKCM: 22 / 469 (4.69%),TCGA-READ: 6 / 137 (4.38%),CGCI-HTMCP-CC: 3 / 84 (3.57%),TCGA-ESCA: 6 / 184 (3.26%),TCGA-LUSC: 16 / 495 (3.23%),TCGA-GBM: 11 / 393 (2.80%),TCGA-OV: 10 / 436 (2.29%),TCGA-LUAD: 13 / 567 (2.29%),TCGA-SARC: 5 / 237 (2.11%),TCGA-CESC: 6 / 289 (2.08%),TCGA-CHOL: 1 / 51 (1.96%),HCMI-CMDC: 2 / 109 (1.83%),CPTAC-3: 14 / 778 (1.80%),CPTAC-2: 5 / 328 (1.52%),TCGA-KIRC: 5 / 336 (1.49%),TCGA-LAML: 2 / 144 (1.39%),TCGA-HNSC: 7 / 508 (1.38%),MMRF-COMMPASS: 13 / 959 (1.36%),TCGA-LIHC: 4 / 364 (1.10%),TCGA-PAAD: 2 / 182 (1.10%),TCGA-KIRP: 3 / 281 (1.07%),TCGA-THYM: 1 / 123 (0.81%),TCGA-BRCA: 8 / 986 (0.81%),TARGET-NBL: 1 / 219 (0.46%),TCGA-PRAD: 2 / 498 (0.40%),TCGA-LGG: 2 / 510 (0.39%),TCGA-THCA: 1 / 492 (0.20%)	995 / 6,961 (14.29%)	65 / 6,961 (0.93%)	307		
CPSF1	cleavage and polyadenylation specific factor 1, 160kDa	293 / 6,931 (4.23%)	293 / 13,035,TCGA-UCEC: 51 / 530 (9.62%),TCGA-STAD: 31 / 440 (7.05%),TCGA-COAD: 26 / 400 (6.50%),TCGA-CESC: 16 / 289 (5.54%),CGCI-HTMCP-CC: 4 / 84 (4.76%),TCGA-READ: 6 / 137 (4.38%),TCGA-BLCA: 14 / 412 (3.40%),TCGA-ESCA: 6 / 184 (3.26%),CPTAC-2: 10 / 328 (3.05%),CMI-ASC: 1 / 36 (2.78%),HCMI-CMDC: 3 / 109 (2.75%),CPTAC-3: 20 / 778 (2.57%),TCGA-SKCM: 12 / 469 (2.56%),TCGA-LUSC: 12 / 495 (2.42%),TCGA-CHOL: 1 / 51 (1.96%),TCGA-LIHC: 7 / 364 (1.92%),TCGA-LUAD: 10 / 567 (1.76%),TCGA-BRCA: 17 / 986 (1.72%),TCGA-HNSC: 8 / 508 (1.57%),TCGA-TGCT: 2 / 145 (1.38%),TCGA-OV: 6 / 436 (1.38%),TCGA-GBM: 5 / 393 (1.27%),TCGA-MESO: 1 / 82 (1.22%),TCGA-PAAD: 2 / 182 (1.10%),TCGA-ACC: 1 / 92 (1.09%),MMRF-COMMPASS: 9 / 959 (0.94%),TCGA-THYM: 1 / 123 (0.81%),TCGA-LGG: 4 / 510 (0.78%),TCGA-LAML: 1 / 144 (0.69%),TCGA-KIRC: 2 / 336 (0.60%),CMI-MBC: 1 / 174 (0.57%),TCGA-SARC: 1 / 237 (0.42%),TCGA-THCA: 1 / 492 (0.20%),TCGA-PRAD: 1 / 498 (0.20%)	1168 / 6,961 (16.78%)	393 / 6,961 (5.65%)	334		
RBM15B	RNA binding motif protein 15B	234 / 6,931 (3.38%)	234 / 13,035,TCGA-UCEC: 58 / 530 (10.94%),TCGA-COAD: 40 / 400 (10.00%),TCGA-CHOL: 4 / 51 (7.84%),TCGA-READ: 5 / 137 (3.65%),TCGA-KIRP: 9 / 281 (3.20%),TCGA-STAD: 14 / 440 (3.18%),TCGA-KICH: 2 / 66 (3.03%),TCGA-ACC: 2 / 92 (2.17%),TCGA-SKCM: 10 / 469 (2.13%),TCGA-SARC: 4 / 237 (1.69%),TCGA-LIHC: 6 / 364 (1.65%),CPTAC-3: 12 / 778 (1.54%),TCGA-LUSC: 7 / 495 (1.41%),TCGA-CESC: 4 / 289 (1.38%),TCGA-TGCT: 2 / 145 (1.38%),MMRF-COMMPASS: 13 / 959 (1.36%),TCGA-GBM: 5 / 393 (1.27%),CPTAC-2: 4 / 328 (1.22%),TCGA-BLCA: 5 / 412 (1.21%),TCGA-HNSC: 6 / 508 (1.18%),TCGA-ESCA: 2 / 184 (1.09%),TCGA-OV: 4 / 436 (0.92%),TCGA-BRCA: 8 / 986 (0.81%),TCGA-LUAD: 4 / 567 (0.71%),CMI-MBC: 1 / 174 (0.57%),TCGA-KIRC: 1 / 336 (0.30%),TCGA-THCA: 1 / 492 (0.20%),TCGA-PRAD: 1 / 498 (0.20%)	74 / 6,961 (1.06%)	737 / 6,961 (10.59%)	242		
RBM15	RNA binding motif protein 15	230 / 6,931 (3.32%)	230 / 13,035,TCGA-UCEC: 37 / 530 (6.98%),TCGA-COAD: 24 / 400 (6.00%),TCGA-READ: 8 / 137 (5.84%),TCGA-STAD: 20 / 440 (4.55%),TCGA-BLCA: 17 / 412 (4.13%),TCGA-CESC: 10 / 289 (3.46%),CMI-MPC: 1 / 30 (3.33%),CMI-ASC: 1 / 36 (2.78%),TCGA-ESCA: 5 / 184 (2.72%),TCGA-LUAD: 15 / 567 (2.65%),TCGA-THYM: 3 / 123 (2.44%),TCGA-LUSC: 12 / 495 (2.42%),CPTAC-2: 7 / 328 (2.13%),TCGA-SKCM: 8 / 469 (1.71%),TCGA-PAAD: 3 / 182 (1.65%),TCGA-KICH: 1 / 66 (1.52%),TCGA-HNSC: 7 / 508 (1.38%),MMRF-COMMPASS: 13 / 959 (1.36%),TCGA-SARC: 3 / 237 (1.27%),TCGA-OV: 5 / 436 (1.15%),TCGA-ACC: 1 / 92 (1.09%),TCGA-GBM: 4 / 393 (1.02%),HCMI-CMDC: 1 / 109 (0.92%),CPTAC-3: 7 / 778 (0.90%),TCGA-KIRP: 2 / 281 (0.71%),TCGA-BRCA: 7 / 986 (0.71%),TCGA-LAML: 1 / 144 (0.69%),TCGA-KIRC: 2 / 336 (0.60%),TCGA-LGG: 2 / 510 (0.39%),TCGA-LIHC: 1 / 364 (0.27%),TCGA-THCA: 1 / 492 (0.20%),TCGA-PRAD: 1 / 498 (0.20%)	224 / 6,961 (3.22%)	674 / 6,961 (9.68%)	244	Cancer Gene Census	
ADARB1	adenosine deaminase, RNA-specific, B1	228 / 6,931 (3.29%)	228 / 13,035,TCGA-UCEC: 48 / 530 (9.06%),TCGA-COAD: 24 / 400 (6.00%),TCGA-SKCM: 25 / 469 (5.33%),TCGA-READ: 6 / 137 (4.38%),TCGA-STAD: 18 / 440 (4.09%),TCGA-LUAD: 21 / 567 (3.70%),TCGA-DLBC: 1 / 37 (2.70%),CPTAC-2: 6 / 328 (1.83%),TARGET-ALL-P3: 1 / 56 (1.79%),TCGA-BLCA: 7 / 412 (1.70%),TCGA-OV: 7 / 436 (1.61%),TCGA-GBM: 6 / 393 (1.53%),CPTAC-3: 11 / 778 (1.41%),TCGA-CESC: 4 / 289 (1.38%),TCGA-MESO: 1 / 82 (1.22%),TCGA-LUSC: 6 / 495 (1.21%),MMRF-COMMPASS: 11 / 959 (1.15%),TCGA-PAAD: 2 / 182 (1.10%),TCGA-ACC: 1 / 92 (1.09%),TCGA-KIRP: 3 / 281 (1.07%),TCGA-HNSC: 4 / 508 (0.79%),TCGA-LAML: 1 / 144 (0.69%),TCGA-LIHC: 2 / 364 (0.55%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-BRCA: 5 / 986 (0.51%),TCGA-THCA: 2 / 492 (0.41%),TCGA-PRAD: 2 / 498 (0.40%),TCGA-KIRC: 1 / 336 (0.30%),TCGA-LGG: 1 / 510 (0.20%)	344 / 6,961 (4.94%)	296 / 6,961 (4.25%)	248		
CFI	complement factor I	194 / 6,931 (2.80%)	194 / 13,035,TCGA-SKCM: 42 / 469 (8.96%),TCGA-UCEC: 37 / 530 (6.98%),TCGA-READ: 6 / 137 (4.38%),TCGA-COAD: 17 / 400 (4.25%),TCGA-STAD: 18 / 440 (4.09%),CMI-ASC: 1 / 36 (2.78%),TCGA-CESC: 8 / 289 (2.77%),TCGA-LUSC: 9 / 495 (1.82%),TCGA-GBM: 6 / 393 (1.53%),CPTAC-2: 5 / 328 (1.52%),TCGA-LAML: 2 / 144 (1.39%),TCGA-LIHC: 5 / 364 (1.37%),TCGA-ACC: 1 / 92 (1.09%),TCGA-LUAD: 6 / 567 (1.06%),CPTAC-3: 8 / 778 (1.03%),TCGA-BLCA: 4 / 412 (0.97%),HCMI-CMDC: 1 / 109 (0.92%),TCGA-HNSC: 4 / 508 (0.79%),TCGA-PAAD: 1 / 182 (0.55%),TCGA-ESCA: 1 / 184 (0.54%),TCGA-OV: 2 / 436 (0.46%),TARGET-NBL: 1 / 219 (0.46%),TCGA-SARC: 1 / 237 (0.42%),MMRF-COMMPASS: 4 / 959 (0.42%),TCGA-BRCA: 3 / 986 (0.30%),TCGA-THCA: 1 / 492 (0.20%)	198 / 6,961 (2.84%)	313 / 6,961 (4.50%)	192		
