target	r	p	drug
MAN1B1	0.390573244606249	0.000122729069459797	1,4-butanediol | kifunensine
TOP1	0.490077884873624	8.73417853789694e-07	10-hydroxycamptothecin | 9-aminocamptothecin | aclarubicin | beta-lapachone | camptothecin | exatecan-mesylate | genz-644282 | irinotecan | luteolin | nemorubicin | pyrazoloacridine | rubitecan | SN-38 | sodium-stibogluconate | TAS-103 | topotecan
NOS3	-0.568022440392707	4.84715653461698e-09	1400W | 3-bromo-7-nitroindazole | 7-nitroindazole | asymmetrical-dimethylarginine | C11-Acetate | cis-exo-camphanediol-2,3 | diphenyleneiodonium | EIT-hydrobromide | fenoxaprop-p-ethyl | hexylene-glycol | L-Arginine | L-Citrulline | L-NAME | L-NIL | miconazole | NG-nitro-arginine | sapropterin | S-Isopropylisothiourea | targinine
HPGD	-0.152278356360598	0.144871644534939	16,16-dimethylprostaglandin-e2 | coenzyme-i
NR3C1	-0.409223836949061	5.4032091914447e-05	17-hydroxyprogesterone-caproate | alclometasone-dipropionate | amcinonide | beclomethasone | beclomethasone-dipropionate | betamethasone | betamethasone-acetate | betamethasone-valerate | budesonide | ciclesonide | clobetasol-propionate | clobetasone-butyrate | clocortolone-pivalate | cortisone | cortisone-acetate | deflazacort | desonide | desoximetasone | desoxycortone | dexamethasone | dexamethasone-sodium-phosphate | diflorasone-diacetate | difluprednate | fludrocortisone-acetate | fludroxycortide | flumethasone | flumethasone-pivalate | flunisolide | fluocinolone-acetonide | fluocinonide | fluorometholone | fluorometholone-acetate | fluoxymesterone | fluticasone-propionate | GSK9027 | halcinonide | halobetasol-propionate | hydrocortisone-acetate | hydrocortisone-butyrate | hydrocortisone-phosphate | isoflupredone-acetate | loteprednol | LXR-623 | medrysone | megestrol-acetate | meprednisone | methylprednisolone | methylprednisolone-aceponate | mifepristone | mometasone | mometasone-furoate | prednicarbate | prednisolone | prednisolone-acetate | prednisolone-hemisuccinate | prednisolone-sodium-phosphate | prednisone | rimexolone | spironolactone | triamcinolone | triamcinolone-acetonide
CDK5	0.116215571006535	0.266761994751777	1-azakenpaullone | alvocidib | aminopurvalanol-a | AT-7519 | CDK1-5-inhibitor | dinaciclib | indirubin | indirubin-3-monoxime | kenpaullone | olomoucine | PHA-793887 | purvalanol-a | purvalanol-b | RGB-286638 | SU9516
GSK3B	0.202187341469965	0.0520896971214101	1-azakenpaullone | 4,5,6,7-tetrabromobenzotriazole | 8-hydroxy-DPAT | A-1070722 | AR-A014418 | AT7867 | AZD1080 | AZD2858 | bisindolylmaleimide-ix | BX-795 | BX-912 | CDK1-5-inhibitor | CHIR-98014 | CHIR-99021 | ellagic-acid | enzastaurin | GSK-3-inhibitor-IX | indirubin-3-monoxime | JW-67 | kenpaullone | LY2090314 | LY294002 | PD-98059 | PF-573228 | RGB-286638 | SB-202190 | SB-203580 | SB-216763 | SB-415286 | TCS2002 | tideglusib | TWS-119 | U-0126
MAN2A1	0.215287517531557	0.0384081496219047	1-deoxymannojirimycin | kifunensine | swainsonine
DBI	-0.338262063203127	0.000971026038709744	1-hexadecanal | coenzyme-a
SRC	0.467547969323506	3.04338606943105e-06	1-naphthyl-PP1 | AZM-475271 | bosutinib | citric-acid | dasatinib | dorsomorphin | ENMD-2076 | KB-SRC-4 | KX2-391 | MNS-(3,4-Methylenedioxy-nitrostyrene) | PD-166285 | PD-168393 | ponatinib | PP-121 | PP-2 | purvalanol-a | rebastinib | saracatinib | SB-203580 | TG-100572 | TG-100801 | tolimidone | vandetanib | WH-4-023 | XL228
GJB1	-0.3870669332458	0.000142474881617833	1-octanol | carbenoxolone | flufenamic-acid
FOLH1	-0.328384709498374	0.00138382540169455	2-(3-mercaptopropyl)pentanedioic acid | L-glutamic-acid | L-Quisqualic-acid | PMPA
BCL2L1	-0.380636209005998	0.000186553319240618	2,3-DCPE | ABT-737 | navitoclax | TW-37
TXN	0.00462534690101758	0.964889547082032	2,4-dinitrochlorobenzene | C11-Acetate | PX-12
APP	0.044836023992122	0.66903341927758	2,4-dinitrophenol | beta-amyloid-synthesis-inhibitor | curcumin | EUK-134 | MRK-560 | Ro-90-7501 | salidroside | SEN-1269 | TC-E-5006 | tramiprosate
HBB	0.0061173942884426	0.953556412904105	2,5-furandimethanol | disodium sebacate | efaproxiral
CA14	-0.356867894124317	0.000483227773482712	2-aminobenzenesulfonamide | acetazolamide | brinzolamide | carzenide | chlorthalidone | coumarin | curcumin | dorzolamide | ellagic-acid | ethoxzolamide | ferulic-acid | gallic-acid | indisulam | mafenide | methazolamide | phenol | resorcinol | spermine | trientine | zonisamide
CA2	-0.401047417265972	7.78565361854354e-05	2-aminobenzenesulfonamide | acetazolamide | bendroflumethiazide | benzthiazide | brinzolamide | butylated-hydroxytoluene | C11-Acetate | carzenide | chlorothiazide | coumarin | curcumin | cyclothiazide | diazoxide | diclofenamide | ditiocarb-sodium-trihydrate | dorzolamide | ellagic-acid | ethoxzolamide | ferulic-acid | furosemide | gallic-acid | guaiacol | hydrochlorothiazide | hydroflumethiazide | indisulam | irosustat | mafenide | methazolamide | methyclothiazide | para-toluenesulfonamide | phenol | quinethazone | resorcinol | saccharin | sparfosate | tioxolone | topiramate | trichlormethiazide | U-104 | urea | zonisamide
MAOA	-0.572155411655874	3.35400854497293e-09	2-BFI | amiflamine | bifemelane | BU-224 | BW-616U | caroxazone | clorgiline | diclofensine | eprobemide | flavin-adenine-dinucleotide | harmane | hymecromone | indatraline | iproniazid | isocarboxazid | linezolid | minaprine | moclobemide | mofegiline | nandrolone | nialamide | nomifensine | pargyline | phenelzine | phentermine | piperine | pirlindole | PNU-22394 | procaine | psoralen | selegiline | tetrindole | toloxatone | tranylcypromine | zimelidine | zonisamide
MAOB	-0.614156545611889	0	2-BFI | bifemelane | BU-224 | caroxazone | diclofensine | flavin-adenine-dinucleotide | harmane | hymecromone | indatraline | iproniazid | isocarboxazid | lazabemide | linezolid | milacemide | moclobemide | mofegiline | nandrolone | nialamide | nomifensine | pargyline | phenelzine | phentermine | piperine | PNU-22394 | procaine | psoralen | rasagiline | safinamide | selegiline | toloxatone | tranylcypromine | zimelidine | zonisamide
SLC2A1	0.380382560950136	0.00018852715906797	2-deoxyglucose | STF-31
SLC2A2	-0.405807048431858	6.30108895264028e-05	2-deoxyglucose | streptozotocin
SLC2A3	0.45492524842589	5.91572793901281e-06	2-deoxyglucose
NQO2	-0.309957924263675	0.00260282524197227	2-iodomelatonin | caricotamide | coenzyme-i | flavin-adenine-dinucleotide | melatonin | menadione | primaquine | resveratrol | tretazicar
COMT	-0.312136313449315	0.00242021571456299	2-methoxyestradiol | ademetionine | entacapone | nialamide | nitecapone | opicapone | OR-486 | tolcapone | U-0521
ABAT	-0.742129450031333	0	2-oxopropanoate | 3-methyl-GABA | alanine | C11-Acetate | L-glutamic-acid | MC-1 | phenelzine | valproic-acid | vanillin | vigabatrin
AGXT2	-0.408194324251738	5.6603037591146e-05	2-oxopropanoate | alanine | AZD4282 | MC-1
PC	-0.576721076661395	2.14893436102033e-09	2-oxopropanoate | biotin
PDHB	-0.396317627047835	9.57890290454503e-05	2-oxopropanoate | coenzyme-i
PKLR	-0.530616812389961	7.37830877699572e-08	2-oxopropanoate | fosfructose
PKM	0.553803228790546	1.49124845054637e-08	2-oxopropanoate | TEPP-46
SLC16A1	0.0408820984154457	0.696724119776621	2-oxopropanoate | AR-C155858 | AZD3965 | CHC | UK-5099
SLC16A2	-0.599892572588105	0	2-oxopropanoate
SLC16A7	0.265927605860762	0.01017050174541	2-oxopropanoate | AR-C155858
PARP1	0.507236429829011	3.18913429774527e-07	3-amino-benzamide | 4-HQN | AG-14361 | BYK-204165 | DR-2313 | E7449 | EB-47 | iniparib | inosine | nicotinamide | niraparib | NU-1025 | olaparib | PJ-34 | rucaparib | S-111 | veliparib
HK2	0.503103458565844	4.08441533532954e-07	3-bromopyruvate
AHCY	-0.0672167348034974	0.521395655347976	3-deazaadenosine | nadide
B2M	0.0670376891170063	0.522507808413253	3-indolebutyric-acid
