"id","species","taxonId","ensembl","entrez","name","fullname","synonym","signature","chromStart","chromEnd","chromStrand","chromName","band","goTerms","function","goFunctions","goLocalizations","cerebralLocalization","nrIntxsValidated","nrIntxsPredicted","transcripts","humanOrthologs","mouseOrthologs","bovineOrthologs","lastModified"
"285","Homo sapiens","9606","ENSG00000158270","81035","COLEC12","collectin sub-family member 12 ","","COLEC12|IDBG-285|ENSG00000158270|81035","319361","500722","-1","18","p11.32","GO:0002221|pattern recognition receptor signaling pathway|biological_process#GO:0005044|scavenger receptor activity|molecular_function#GO:0005534|galactose binding|molecular_function#GO:0005581|collagen trimer|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006898|receptor-mediated endocytosis|biological_process#GO:0006910|phagocytosis, recognition|biological_process#GO:0006952|defense response|biological_process#GO:0006955|immune response|biological_process#GO:0008329|signaling pattern recognition receptor activity|molecular_function#GO:0009756|carbohydrate mediated signaling|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0030169|low-density lipoprotein particle binding|molecular_function#GO:0030666|endocytic vesicle membrane|cellular_component#GO:0045087|innate immune response|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0051260|protein homooligomerization|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component"," metal ion binding","GO:0005044: scavenger receptor activity#GO:0005534: galactose binding#GO:0008329: signaling pattern recognition receptor activity#GO:0030169: low-density lipoprotein particle binding#GO:0046872: metal ion binding","GO:0005044: scavenger receptor activity,GO:0005534: galactose binding,GO:0008329: signaling pattern recognition receptor activity,GO:0030169: low-density lipoprotein particle binding,GO:0046872: metal ion binding","Plasma membrane","2","0","228706","","Colec12|IDBG-128247|ENSMUSG00000036103|140792","COLEC12|IDBG-644123|ENSBTAG00000007705|504741","2017-02-20"
"885","Homo sapiens","9606","ENSG00000177663","23765","IL17RA","interleukin 17 receptor A ","CANDF5|CD217|CDw217|hIL-17R|IL-17RA|IL17R","IL17RA|IDBG-885|ENSG00000177663|23765","17084954","17115694","1","22","q11.1","GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0030368|interleukin-17 receptor activity|molecular_function#GO:0032747|positive regulation of interleukin-23 production|biological_process#GO:0071345|cellular response to cytokine stimulus|biological_process#GO:0072537|fibroblast activation|biological_process#GO:1900017|positive regulation of cytokine production involved in inflammatory response|biological_process"," interleukin-17 receptor activity","GO:0005515: protein binding#GO:0030368: interleukin-17 receptor activity","GO:0005515: protein binding,GO:0030368: interleukin-17 receptor activity","Extracellular","21","14","887|810276","","Il17ra|IDBG-183749|ENSMUSG00000002897|16172","IL17RA|IDBG-641259|ENSBTAG00000011067|525040","2017-02-20"
"1072","Homo sapiens","9606","ENSG00000154721","58494","JAM2","junctional adhesion molecule 2 ","","JAM2|IDBG-1072|ENSG00000154721|58494","25639272","25717562","1","21","q21.3","GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0005923|tight junction|cellular_component#GO:0007162|negative regulation of cell adhesion|biological_process#GO:0007596|blood coagulation|biological_process#GO:0016337|single organismal cell-cell adhesion|biological_process#GO:0030198|extracellular matrix organization|biological_process#GO:0046982|protein heterodimerization activity|molecular_function#GO:0050900|leukocyte migration|biological_process"," protein heterodimerization activity","GO:0005515: protein binding#GO:0046982: protein heterodimerization activity","GO:0005515: protein binding,GO:0046982: protein heterodimerization activity","Cell surface","11","0","1074|227998|480678|586152","","Jam2|IDBG-172706|ENSMUSG00000053062|67374","JAM2|IDBG-630318|ENSBTAG00000000603|538846","2017-02-20"
"1100","Homo sapiens","9606","ENSG00000142192","351","APP","amyloid beta (A4) precursor protein ","AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2","APP|IDBG-1100|ENSG00000142192|351","25880550","26171128","-1","21","q21.3","GO:0000085|mitotic G2 phase|biological_process#GO:0001967|suckling behavior|biological_process#GO:0002576|platelet degranulation|biological_process#GO:0003677|DNA binding|molecular_function#GO:0004867|serine-type endopeptidase inhibitor activity|molecular_function#GO:0005102|receptor binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005641|nuclear envelope lumen|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005794|Golgi apparatus|cellular_component#GO:0005829|cytosol|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0005905|coated pit|cellular_component#GO:0005911|cell-cell junction|cellular_component#GO:0006378|mRNA polyadenylation|biological_process#GO:0006417|regulation of translation|biological_process#GO:0006468|protein phosphorylation|biological_process#GO:0006878|cellular copper ion homeostasis|biological_process#GO:0006897|endocytosis|biological_process#GO:0006979|response to oxidative stress|biological_process#GO:0007155|cell adhesion|biological_process#GO:0007176|regulation of epidermal growth factor-activated receptor activity|biological_process#GO:0007219|Notch signaling pathway|biological_process#GO:0007399|nervous system development|biological_process#GO:0007409|axonogenesis|biological_process#GO:0007596|blood coagulation|biological_process#GO:0007617|mating behavior|biological_process#GO:0007626|locomotory behavior|biological_process#GO:0008088|axon cargo transport|biological_process#GO:0008201|heparin binding|molecular_function#GO:0008203|cholesterol metabolic process|biological_process#GO:0008344|adult locomotory behavior|biological_process#GO:0008542|visual learning|biological_process#GO:0009986|cell surface|cellular_component#GO:0010468|regulation of gene expression|biological_process#GO:0010951|negative regulation of endopeptidase activity|biological_process#GO:0010952|positive regulation of peptidase activity|biological_process#GO:0010971|positive regulation of G2/M transition of mitotic cell cycle|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0016199|axon midline choice point recognition|biological_process#GO:0016322|neuron remodeling|biological_process#GO:0016358|dendrite development|biological_process#GO:0016504|peptidase activator activity|molecular_function#GO:0019899|enzyme binding|molecular_function#GO:0030134|ER to Golgi transport vesicle|cellular_component#GO:0030168|platelet activation|biological_process#GO:0030198|extracellular matrix organization|biological_process#GO:0030424|axon|cellular_component#GO:0030900|forebrain development|biological_process#GO:0031093|platelet alpha granule lumen|cellular_component#GO:0031175|neuron projection development|biological_process#GO:0031410|cytoplasmic vesicle|cellular_component#GO:0031594|neuromuscular junction|cellular_component#GO:0033130|acetylcholine receptor binding|molecular_function#GO:0035235|ionotropic glutamate receptor signaling pathway|biological_process#GO:0035253|ciliary rootlet|cellular_component#GO:0035872|nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway|biological_process#GO:0040014|regulation of multicellular organism growth|biological_process#GO:0042802|identical protein binding|molecular_function#GO:0043005|neuron projection|cellular_component#GO:0043197|dendritic spine|cellular_component#GO:0043198|dendritic shaft|cellular_component#GO:0043231|intracellular membrane-bounded organelle|cellular_component#GO:0043235|receptor complex|cellular_component#GO:0043393|regulation of protein binding|biological_process#GO:0045087|innate immune response|biological_process#GO:0045121|membrane raft|cellular_component#GO:0045177|apical part of cell|cellular_component#GO:0045202|synapse|cellular_component#GO:0045665|negative regulation of neuron differentiation|biological_process#GO:0045931|positive regulation of mitotic cell cycle|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0046914|transition metal ion binding|molecular_function#GO:0048471|perinuclear region of cytoplasm|cellular_component#GO:0048669|collateral sprouting in absence of injury|biological_process#GO:0050803|regulation of synapse structure and activity|biological_process#GO:0050885|neuromuscular process controlling balance|biological_process#GO:0051124|synaptic growth at neuromuscular junction|biological_process#GO:0051233|spindle midzone|cellular_component#GO:0051402|neuron apoptotic process|biological_process#GO:0051425|PTB domain binding|molecular_function#GO:0051563|smooth endoplasmic reticulum calcium ion homeostasis|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0070851|growth factor receptor binding|molecular_function"," growth factor receptor binding","GO:0003677: DNA binding#GO:0004867: serine-type endopeptidase inhibitor activity#GO:0005102: receptor binding#GO:0005515: protein binding#GO:0008201: heparin binding#GO:0016504: peptidase activator activity#GO:0019899: enzyme binding#GO:0033130: acetylcholine receptor binding#GO:0042802: identical protein binding#GO:0046914: transition metal ion binding#GO:0051425: PTB domain binding#GO:0070851: growth factor receptor binding","GO:0003677: DNA binding,GO:0004867: serine-type endopeptidase inhibitor activity,GO:0005102: receptor binding,GO:0005515: protein binding,GO:0008201: heparin binding,GO:0016504: peptidase activator activity,GO:0019899: enzyme binding,GO:0033130: acetylcholine receptor binding,GO:0042802: identical protein binding,GO:0046914: transition metal ion binding,GO:0051425: PTB domain binding,GO:0070851: growth factor receptor binding","Nucleus","2628","31","1102|1104|1106|1108|1110|1112|361147|361148|361152|361154","","App|IDBG-172954|ENSMUSG00000022892|11820","APP|IDBG-630293|ENSBTAG00000017753|280722","2017-02-20"
"1597","Homo sapiens","9606","ENSG00000156299","102724932,7074","TIAM1","T-cell lymphoma invasion and metastasis 1 ","","TIAM1|IDBG-1597|ENSG00000156299|102724932,7074","31118416","31559977","-1","21","q22.11","GO:0005057|receptor signaling protein activity|molecular_function#GO:0005085|guanyl-nucleotide exchange factor activity|molecular_function#GO:0005089|Rho guanyl-nucleotide exchange factor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005543|phospholipid binding|molecular_function#GO:0005829|cytosol|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005911|cell-cell junction|cellular_component#GO:0007160|cell-matrix adhesion|biological_process#GO:0007165|signal transduction|biological_process#GO:0007264|small GTPase mediated signal transduction|biological_process#GO:0016477|cell migration|biological_process#GO:0016601|Rac protein signal transduction|biological_process#GO:0030676|Rac guanyl-nucleotide exchange factor activity|molecular_function#GO:0031234|extrinsic component of cytoplasmic side of plasma membrane|cellular_component#GO:0032321|positive regulation of Rho GTPase activity|biological_process#GO:0032855|positive regulation of Rac GTPase activity|biological_process#GO:0035023|regulation of Rho protein signal transduction|biological_process#GO:0035556|intracellular signal transduction|biological_process#GO:0043065|positive regulation of apoptotic process|biological_process#GO:0043087|regulation of GTPase activity|biological_process#GO:0044291|cell-cell contact zone|cellular_component#GO:0046875|ephrin receptor binding|molecular_function#GO:0048011|neurotrophin TRK receptor signaling pathway|biological_process#GO:0048013|ephrin receptor signaling pathway|biological_process#GO:0050772|positive regulation of axonogenesis|biological_process#GO:0051056|regulation of small GTPase mediated signal transduction|biological_process#GO:0097190|apoptotic signaling pathway|biological_process"," ephrin receptor binding","GO:0005057: receptor signaling protein activity#GO:0005085: guanyl-nucleotide exchange factor activity#GO:0005089: Rho guanyl-nucleotide exchange factor activity#GO:0005515: protein binding#GO:0005543: phospholipid binding#GO:0030676: Rac guanyl-nucleotide exchange factor activity#GO:0046875: ephrin receptor binding","GO:0005057: receptor signaling protein activity,GO:0005085: guanyl-nucleotide exchange factor activity,GO:0005089: Rho guanyl-nucleotide exchange factor activity,GO:0005515: protein binding,GO:0005543: phospholipid binding,GO:0030676: Rac guanyl-nucleotide exchange factor activity,GO:0046875: ephrin receptor binding","Cell surface","41","5","1599|361857|361858|597056","","Tiam1|IDBG-174466|ENSMUSG00000002489|21844","BT.74139|IDBG-630064|ENSBTAG00000017839|","2017-02-20"
"1754","Homo sapiens","9606","ENSG00000134489","59340","HRH4","histamine receptor H4 ","","HRH4|IDBG-1754|ENSG00000134489|59340","24460629","24479957","1","18","q11.2","GO:0004930|G-protein coupled receptor activity|molecular_function#GO:0004969|histamine receptor activity|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0006954|inflammatory response|biological_process#GO:0007186|G-protein coupled receptor signaling pathway|biological_process#GO:0007204|positive regulation of cytosolic calcium ion concentration|biological_process#GO:0008150|biological_process|biological_process#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0043408|regulation of MAPK cascade|biological_process#GO:0045087|innate immune response|biological_process"," histamine receptor activity","GO:0004930: G-protein coupled receptor activity#GO:0004969: histamine receptor activity","GO:0004930: G-protein coupled receptor activity,GO:0004969: histamine receptor activity","Plasma membrane","0","1","1756|365889","","Hrh4|IDBG-129289|ENSMUSG00000037346|225192","HRH4|IDBG-643833|ENSBTAG00000020467|783354","2017-02-20"
"1808","Homo sapiens","9606","ENSG00000099937","3053","SERPIND1","serpin peptidase inhibitor, clade D (heparin cofactor), member 1 ","D22S673|HC2|HCF2|HCII|HLS2|LS2|THPH10","SERPIND1|IDBG-1808|ENSG00000099937|3053","20773879","20787720","1","22","q11.21","GO:0004866|endopeptidase inhibitor activity|molecular_function#GO:0004867|serine-type endopeptidase inhibitor activity|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0006935|chemotaxis|biological_process#GO:0007596|blood coagulation|biological_process#GO:0008201|heparin binding|molecular_function#GO:0010951|negative regulation of endopeptidase activity|biological_process#GO:0030162|regulation of proteolysis|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component"," heparin binding","GO:0004866: endopeptidase inhibitor activity#GO:0004867: serine-type endopeptidase inhibitor activity#GO:0008201: heparin binding","GO:0004866: endopeptidase inhibitor activity,GO:0004867: serine-type endopeptidase inhibitor activity,GO:0008201: heparin binding","Extracellular","5","0","1810|292617","","Serpind1|IDBG-138819|ENSMUSG00000022766|15160","SERPIND1|IDBG-637655|ENSBTAG00000013973|100125764","2017-02-20"
"1973","Homo sapiens","9606","ENSG00000159110","3455","IFNAR2","interferon (alpha, beta and omega) receptor 2 ","IFN-alpha-REC|IFN-R|IFNABR|IFNARB","IFNAR2|IDBG-1973|ENSG00000159110|3455","33229901","33265675","1","21","q22.11","GO:0004905|type I interferon receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006357|regulation of transcription from RNA polymerase II promoter|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0007259|JAK-STAT cascade|biological_process#GO:0008283|cell proliferation|biological_process#GO:0009615|response to virus|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0019901|protein kinase binding|molecular_function#GO:0019962|type I interferon binding|molecular_function#GO:0035455|response to interferon-alpha|biological_process#GO:0045087|innate immune response|biological_process#GO:0060337|type I interferon signaling pathway|biological_process#GO:0060338|regulation of type I interferon-mediated signaling pathway|biological_process"," type I interferon binding","GO:0004905: type I interferon receptor activity#GO:0005515: protein binding#GO:0019901: protein kinase binding#GO:0019962: type I interferon binding","GO:0004905: type I interferon receptor activity,GO:0005515: protein binding,GO:0019901: protein kinase binding,GO:0019962: type I interferon binding","Extracellular","33","5","1975|1983|1985|1987|292621|362701|362703|362705|362709","","Ifnar2|IDBG-175856|ENSMUSG00000022971|15976","IFNAR2|IDBG-629859|ENSBTAG00000015212|282258","2017-02-20"
"2095","Homo sapiens","9606","ENSG00000142166","3454","IFNAR1","interferon (alpha, beta and omega) receptor 1 ","AVP|IFN-alpha-REC|IFNAR|IFNBR|IFRC","IFNAR1|IDBG-2095|ENSG00000142166|3454","33324477","33359862","1","21","q22.11","GO:0004904|interferon receptor activity|molecular_function#GO:0004905|type I interferon receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0007259|JAK-STAT cascade|biological_process#GO:0009615|response to virus|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0032729|positive regulation of interferon-gamma production|biological_process#GO:0042110|T cell activation|biological_process#GO:0045087|innate immune response|biological_process#GO:0045351|type I interferon biosynthetic process|biological_process#GO:0050718|positive regulation of interleukin-1 beta secretion|biological_process#GO:0051607|defense response to virus|biological_process#GO:0060337|type I interferon signaling pathway|biological_process#GO:0060338|regulation of type I interferon-mediated signaling pathway|biological_process"," protein binding","GO:0004904: interferon receptor activity#GO:0004905: type I interferon receptor activity#GO:0005515: protein binding","GO:0004904: interferon receptor activity,GO:0004905: type I interferon receptor activity,GO:0005515: protein binding","Plasma membrane","39","5","2099|362767","","Ifnar1|IDBG-176038|ENSMUSG00000022967|15975","IFNAR1|IDBG-629846|ENSBTAG00000021819|282257","2017-02-20"
"2140","Homo sapiens","9606","ENSG00000159128","3460","IFNGR2","interferon gamma receptor 2 (interferon gamma transducer 1) ","AF-1|IFGR2|IFNGT1|IMD28","IFNGR2|IDBG-2140|ENSG00000159128|3460","33402896","33479348","1","21","q22.11","GO:0004906|interferon-gamma receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005783|endoplasmic reticulum|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0009615|response to virus|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0045087|innate immune response|biological_process#GO:0060333|interferon-gamma-mediated signaling pathway|biological_process#GO:0060334|regulation of interferon-gamma-mediated signaling pathway|biological_process"," protein binding","GO:0004906: interferon-gamma receptor activity#GO:0005515: protein binding","GO:0004906: interferon-gamma receptor activity,GO:0005515: protein binding","Plasma membrane","11","2","2144|2146|292636|362830|362846|597916","","Ifngr2|IDBG-176102|ENSMUSG00000022965|15980","IFNGR2|IDBG-629818|ENSBTAG00000012899|514889","2017-02-20"
