Interactor	Canonical Name	Naming Convention	Major Loc With Loc Score	Minor Loc	Loc Experimental System Type	Loc Source DB	Interaction Source DB	Taxonomy ID
Q0GN75	CD274	UniProtKB/TrEmbl/P	Membrane(0.8)	GO:0016021	Experimental: experimental	eSLDB		9606
O75146	Huntingtin-interacting protein 1-related protein	UniProtKB/Swiss-Prot/P	Cytosol(1)|Mitochondrion(0.3)|Nucleus(0.7)|Secretory-pathway(0.86)|Membrane(1)|Extracellular(0.8)	GO:0005905|GO:0043025|GO:0005737|GO:0005737|GO:0005737|GO:0005829|GO:0005829|GO:0048471|GO:0005938|GO:0043231|GO:0043231|GO:0005739|GO:0005634|GO:0030136|GO:0030665|GO:0005856|GO:0032587|GO:0032839|GO:0043197|GO:0014069|GO:0005576|GO:0005886|GO:0005886|GO:0016324|GO:0097060	Unknown: inferred from electronic annotation|Predicted: inferred from sequence or structural similarity|Predicted: SVM decision tree|Predicted: pTarget method|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: inferred from electronic annotation|Predicted: pTarget method|Experimental: inferred from direct assay|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation|Experimental: inferred from direct assay|Predicted: inferred from sequence or structural similarity|Predicted: inferred from sequence or structural similarity|Predicted: inferred from sequence or structural similarity|Experimental: experimental|Experimental: experimental|Experimental: annotated protein expression (APE)|Unknown: inferred from electronic annotation|Predicted: inferred from sequence or structural similarity	GO|GO|eSLDB|LOCATE|PA-GOSUB|GO|The Human Protein Atlas|GO|GO|GO|The Human Protein Atlas|GO|LOCATE|GO|GO|GO|GO|GO|GO|GO|MatrixDB|Organelle|The Human Protein Atlas|GO|GO	BioGRID	9606
Q15058	Kinesin-like protein KIF14	UniProtKB/Swiss-Prot/P	Membrane(0.998)|Cytosol(1)|Nucleus(0.937)|Extracellular(0.8)	GO:0030496|GO:0090543|GO:0090543|GO:0005737|GO:0005829|GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0051233|GO:0005871|GO:0005874|GO:0005576|GO:0016020|GO:0005886	Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Predicted: SVM decision tree|Unknown: inferred from electronic annotation|Predicted: pTarget method|Experimental: inferred from direct assay|Predicted: inferred from biological aspect of ancestor|Experimental: inferred from direct assay|Experimental: experimental|Unknown: HDA|Predicted: inferred from physical interaction	GO|GO|The Human Protein Atlas|PA-GOSUB|GO|The Human Protein Atlas|eSLDB|GO|LOCATE|GO|GO|GO|MatrixDB|GO|GO	BioGRID	9606
P21359	Neurofibromin	UniProtKB/Swiss-Prot/P	Cytosol(0.981)|Mitochondrion(0.8)|Nucleus(0.79)|Membrane(0.997)|Extracellular(0.8)	GO:0005737|GO:0005737|GO:0005737|GO:0005829|GO:0005739|GO:0005634|GO:0005730|GO:0030425|GO:0030424|GO:0005576|GO:0016020|GO:0016021|GO:0031235	Predicted: inferred from biological aspect of ancestor|Predicted: pTarget method|Predicted: PAML algorithm|Unknown: traceable author statement|Experimental: annotated protein expression (APE)|Predicted: inferred from sequence or structural similarity|Unknown: inferred from electronic annotation|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: experimental|Unknown: HDA|Predicted: SVM decision tree|Predicted: inferred from biological aspect of ancestor	GO|LOCATE|PA-GOSUB|GO|The Human Protein Atlas|GO|GO|GO|GO|MatrixDB|GO|eSLDB|GO	BioGRID	9606
Q9UPT5	Exocyst complex component 7	UniProtKB/Swiss-Prot/P	Membrane(0.997)|Cytosol(1)|Nucleus(0.7)|Extracellular(0.8)	GO:0090543|GO:0005737|GO:0005737|GO:0005829|GO:0005829|GO:0000145|GO:0043231|GO:0005634|GO:0005815|GO:0034451|GO:0032584|GO:0005576|GO:0016020|GO:0016020|GO:0005886|GO:0005886|GO:0005886	Unknown: inferred from electronic annotation|Predicted: SVM decision tree|Predicted: pTarget method|Unknown: traceable author statement|Experimental: annotated protein expression (APE)|Unknown: inferred from electronic annotation|Experimental: annotated protein expression (APE)|Predicted: pTarget method|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Unknown: inferred from electronic annotation|Experimental: experimental|Experimental: experimental|Unknown: HDA|Unknown: traceable author statement|Predicted: PAML algorithm|Experimental: annotated protein expression (APE)	GO|eSLDB|LOCATE|GO|The Human Protein Atlas|GO|The Human Protein Atlas|LOCATE|GO|GO|GO|MatrixDB|eSLDB|GO|GO|PA-GOSUB|The Human Protein Atlas	BioGRID	9606
Q8N1S5	Zinc transporter ZIP11	UniProtKB/Swiss-Prot/P	Cytosol(0.7)|Mitochondrion(0.7)|Nucleus(0.94)|Secretory-pathway(0.91)|Extracellular(0.8)|Membrane(0.994)	GO:0005737|GO:0005739|GO:0005634|GO:0005654|GO:0005794|GO:0005794|GO:0005576|GO:0016020|GO:0016021|GO:0016021|GO:0005886|GO:0005886	Predicted: inferred from sequence or structural similarity|Predicted: PAML algorithm|Predicted: inferred from sequence or structural similarity|Experimental: annotated protein expression (APE)|Predicted: inferred from sequence or structural similarity|Predicted: pTarget method|Experimental: experimental|Predicted: inferred from biological aspect of ancestor|Predicted: SVM decision tree|Unknown: inferred from electronic annotation|Predicted: inferred from sequence or structural similarity|Predicted: PAML algorithm	GO|PA-GOSUB|GO|The Human Protein Atlas|GO|LOCATE|MatrixDB|GO|eSLDB|GO|GO|PA-GOSUB	BioGRID	9606
Q8WY07	Cationic amino acid transporter 3	UniProtKB/Swiss-Prot/P	Extracellular(0.8)|Membrane(0.991)	GO:0005576|GO:0016021|GO:0016021|GO:0005886|GO:0005886|GO:0005886	Experimental: experimental|Experimental: experimental|Unknown: inferred from electronic annotation|Unknown: traceable author statement|Predicted: pTarget method|Predicted: PAML algorithm	MatrixDB|eSLDB|GO|GO|LOCATE|PA-GOSUB	BioGRID	9606
P33681	T-lymphocyte activation antigen CD80	UniProtKB/Swiss-Prot/P	Membrane(0.986)|Cytosol(0.3)|Nucleus(0.7)|Extracellular(0.94)	GO:0009986|GO:0005622|GO:0005634|GO:0005576|GO:0005576|GO:0016021|GO:0016021|GO:0005886|GO:0005886	Unknown: HDA|Unknown: inferred from electronic annotation|Predicted: SVM decision tree|Experimental: experimental|Predicted: PAML algorithm|Experimental: experimental|Unknown: inferred from electronic annotation|Unknown: traceable author statement|Experimental: experimental	GO|GO|eSLDB|MatrixDB|PA-GOSUB|eSLDB|GO|GO|Organelle	BioGRID	9606
P49841	Glycogen synthase kinase-3 beta	UniProtKB/Swiss-Prot/P	Cytosol(0.994)|Mitochondrion(0.3)|Nucleus(0.992)|Membrane(0.982)|Extracellular(0.8)	GO:0005737|GO:0005737|GO:0030877|GO:0005829|GO:0005739|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005813|GO:0030425|GO:0030424|GO:0005576|GO:0005886	Experimental: inferred from direct assay|Predicted: PAML algorithm|Unknown: traceable author statement|Unknown: traceable author statement|Unknown: inferred from electronic annotation|Predicted: SVM decision tree|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: traceable author statement|Experimental: inferred from direct assay|Predicted: inferred from sequence or structural similarity|Predicted: inferred from sequence or structural similarity|Experimental: experimental|Experimental: inferred from direct assay	GO|PA-GOSUB|GO|GO|GO|eSLDB|GO|The Human Protein Atlas|GO|GO|GO|GO|MatrixDB|GO	BioGRID	9606
P42356	Phosphatidylinositol 4-kinase alpha	UniProtKB/Swiss-Prot/P	Cytosol(0.991)|Nucleus(0.8)|Secretory-pathway(0.7)|Extracellular(0.8)|Membrane(0.98)	GO:0005737|GO:0005737|GO:0005737|GO:0005829|GO:0005654|GO:0030660|GO:0005576|GO:0016020|GO:0005886|GO:0005886|GO:0070062|GO:0005925	Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: PAML algorithm|Unknown: traceable author statement|Experimental: annotated protein expression (APE)|Predicted: inferred from sequence or structural similarity|Experimental: experimental|Unknown: HDA|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: HDA|Unknown: HDA	eSLDB|GO|PA-GOSUB|GO|The Human Protein Atlas|GO|MatrixDB|GO|GO|The Human Protein Atlas|GO|GO	BioGRID	9606
