Interactor	Canonical Name	Naming Convention	Major Loc With Loc Score	Minor Loc	Loc Experimental System Type	Loc Source DB	Interaction Source DB	Taxonomy ID
B7ZLG1	FOXP3 protein	UniProtKB/TrEmbl/P	Nucleus(0.8)	GO:0005654	Experimental: annotated protein expression (APE)	The Human Protein Atlas		9606
Q96EB6	NAD-dependent protein deacetylase sirtuin-1	UniProtKB/Swiss-Prot/P	Cytosol(1)|Mitochondrion(0.96)|Nucleus(1)	GO:0005737|GO:0005737|GO:0005737|GO:0005829|GO:0005829|GO:0005739|GO:0005739|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005730|GO:0005637|GO:0005635|GO:0005654|GO:0016605|GO:0035098|GO:0005677|GO:0000790|GO:0005719|GO:0005720|GO:0033553	Experimental: inferred from direct assay|Experimental: experimental|Predicted: pTarget method|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: experimental|Experimental: inferred from direct assay|Experimental: experimental|Predicted: PAML algorithm|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay	GO|Human Proteinpedia|LOCATE|GO|The Human Protein Atlas|GO|The Human Protein Atlas|eSLDB|GO|Human Proteinpedia|PA-GOSUB|The Human Protein Atlas|GO|GO|GO|GO|GO|GO|GO|GO|GO|GO|GO	BioGRID	9606
Q9UQE7	Structural maintenance of chromosomes protein 3	UniProtKB/Swiss-Prot/P	Cytosol(0.994)|Nucleus(1)|Extracellular(0.86)	GO:0005622|GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0016363|GO:0005654|GO:0005654|GO:0005856|GO:0097431|GO:0005694|GO:0005694|GO:0034991|GO:0000800|GO:0000785|GO:0000775|GO:0008278|GO:0030893|GO:0031012|GO:0005604	Experimental: inferred from direct assay|Unknown: traceable author statement|Experimental: experimental|Unknown: traceable author statement|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: experimental|Experimental: inferred from direct assay|Unknown: traceable author statement|Experimental: experimental|Unknown: inferred from electronic annotation|Unknown: inferred from electronic annotation|Experimental: inferred from direct assay|Unknown: traceable author statement|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: experimental|Unknown: traceable author statement	GO|GO|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|GO|GO|The Human Protein Atlas|Organelle|GO|GO|Organelle|GO|GO|GO|GO|GO|GO|MatrixDB|GO	BioGRID	9606
O95347	Structural maintenance of chromosomes protein 2	UniProtKB/Swiss-Prot/P	Cytosol(0.991)|Nucleus(1)	GO:0005737|GO:0005737|GO:0005737|GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005730|GO:0005730|GO:0005654|GO:0005694|GO:0000228|GO:0000793|GO:0000796|GO:0070062	Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: pTarget method|Unknown: traceable author statement|Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: traceable author statement|Experimental: experimental|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Unknown: HDA	eSLDB|GO|LOCATE|GO|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|The Human Protein Atlas|GO|The Human Protein Atlas|GO|Organelle|GO|GO|GO|GO	BioGRID	9606
Q13547	Histone deacetylase 1	UniProtKB/Swiss-Prot/P	Cytosol(0.902)|Nucleus(1)	GO:0043025|GO:0005737|GO:0005829|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0016581|GO:0005667|GO:0032991|GO:0000118|GO:0016580|GO:0000790|GO:0000785|GO:0000792	Unknown: inferred from electronic annotation|Unknown: traceable author statement|Experimental: inferred from direct assay|Experimental: experimental|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Unknown: inferred from electronic annotation|Unknown: HDA|Unknown: traceable author statement|Experimental: inferred from direct assay|Unknown: HDA|Experimental: inferred from direct assay|Unknown: inferred from electronic annotation	GO|GO|GO|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|GO|The Human Protein Atlas|GO|GO|GO|GO|GO|GO|GO|GO	BioGRID	9606
Q92993	Histone acetyltransferase KAT5	UniProtKB/Swiss-Prot/P	Cytosol(0.86)|Nucleus(1)	GO:0005737|GO:0048471|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005730|GO:0005654|GO:0005654|GO:0005667|GO:0032777|GO:0035267|GO:0000812	Experimental: experimental|Unknown: inferred from electronic annotation|Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Unknown: inferred from electronic annotation|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay	eSLDB|GO|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|GO|GO|The Human Protein Atlas|GO|GO|GO|GO	BioGRID	9606
P55265	Double-stranded RNA-specific adenosine deaminase	UniProtKB/Swiss-Prot/P	Cytosol(0.94)|Nucleus(1)|Extracellular(0.8)|Membrane(0.3)	GO:0005737|GO:0005737|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005730|GO:0005730|GO:0005654|GO:0044530|GO:0005576|GO:0016020	Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: SVM decision tree|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: experimental|Unknown: HDA	eSLDB|GO|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|The Human Protein Atlas|GO|The Human Protein Atlas|GO|GO|MatrixDB|GO	BioGRID	9606
Q92769	Histone deacetylase 2	UniProtKB/Swiss-Prot/P	Cytosol(0.3)|Nucleus(1)	GO:0005737|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0016581|GO:0032991|GO:0035098|GO:0016580|GO:0000790	Unknown: traceable author statement|Experimental: experimental|Experimental: inferred from direct assay|Predicted: pTarget method|Experimental: experimental|Predicted: PAML algorithm|Experimental: annotated protein expression (APE)|Unknown: traceable author statement|Experimental: inferred from direct assay|Unknown: HDA|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Unknown: HDA	GO|eSLDB|GO|LOCATE|Organelle|PA-GOSUB|The Human Protein Atlas|GO|GO|GO|GO|GO|GO	BioGRID	9606
Q01826	DNA-binding protein SATB1	UniProtKB/Swiss-Prot/P	Nucleus(1)	GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0016363|GO:0005654|GO:0005654|GO:0016604|GO:0016604|GO:0016605|GO:0005720	Predicted: SVM decision tree|Experimental: inferred from direct assay|Experimental: experimental|Predicted: PAML algorithm|Unknown: inferred from electronic annotation|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Unknown: inferred from electronic annotation	eSLDB|GO|Organelle|PA-GOSUB|GO|GO|The Human Protein Atlas|GO|The Human Protein Atlas|GO|GO	BioGRID	9606
Q9H7Z6	Histone acetyltransferase KAT8	UniProtKB/Swiss-Prot/P	Nucleus(1)	GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005654|GO:0071339|GO:0000123|GO:0072487|GO:0000776	Experimental: experimental|Experimental: inferred from direct assay|Predicted: pTarget method|Predicted: PAML algorithm|Experimental: inferred from direct assay|Experimental: annotated protein expression (APE)|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Experimental: inferred from direct assay|Unknown: inferred from electronic annotation	eSLDB|GO|LOCATE|PA-GOSUB|GO|The Human Protein Atlas|GO|GO|GO|GO	BioGRID	9606
