"gene_id"	"gene_type"	"gene_name"
"ENSG00000243485"	"lincRNA"	"RP11-34P13.3"
"ENSG00000237613"	"lincRNA"	"FAM138A"
"ENSG00000238009"	"lincRNA"	"RP11-34P13.7"
"ENSG00000239945"	"lincRNA"	"RP11-34P13.8"
"ENSG00000239906"	"antisense"	"RP11-34P13.14"
"ENSG00000241860"	"processed_transcript"	"RP11-34P13.13"
"ENSG00000241599"	"lincRNA"	"RP11-34P13.9"
"ENSG00000228463"	"lincRNA"	"AP006222.2"
"ENSG00000236743"	"lincRNA"	"RP5-857K21.15"
"ENSG00000236601"	"lincRNA"	"RP4-669L17.2"
"ENSG00000237094"	"lincRNA"	"RP4-669L17.10"
"ENSG00000231709"	"lincRNA"	"RP5-857K21.1"
"ENSG00000235146"	"lincRNA"	"RP5-857K21.2"
"ENSG00000239664"	"lincRNA"	"RP5-857K21.3"
"ENSG00000230021"	"lincRNA"	"RP5-857K21.4"
"ENSG00000223659"	"lincRNA"	"RP5-857K21.5"
"ENSG00000235373"	"lincRNA"	"RP11-206L10.3"
"ENSG00000240618"	"lincRNA"	"RP11-206L10.5"
"ENSG00000229905"	"antisense"	"RP11-206L10.4"
"ENSG00000228327"	"lincRNA"	"RP11-206L10.2"
"ENSG00000237491"	"lincRNA"	"RP11-206L10.9"
"ENSG00000177757"	"lincRNA"	"FAM87B"
"ENSG00000228794"	"processed_transcript"	"LINC01128"
"ENSG00000225880"	"lincRNA"	"LINC00115"
"ENSG00000230368"	"lincRNA"	"FAM41C"
"ENSG00000272438"	"lincRNA"	"RP11-54O7.16"
"ENSG00000230699"	"lincRNA"	"RP11-54O7.1"
"ENSG00000241180"	"lincRNA"	"RP11-54O7.2"
"ENSG00000223764"	"lincRNA"	"RP11-54O7.3"
"ENSG00000272512"	"lincRNA"	"RP11-54O7.17"
"ENSG00000224969"	"antisense"	"RP11-54O7.11"
"ENSG00000242590"	"sense_intronic"	"RP11-54O7.14"
"ENSG00000273443"	"lincRNA"	"RP11-54O7.18"
"ENSG00000223823"	"lincRNA"	"LINC01342"
"ENSG00000272141"	"lincRNA"	"RP11-465B22.8"
"ENSG00000205231"	"antisense"	"TTLL10-AS1"
"ENSG00000260179"	"lincRNA"	"RP5-902P8.12"
"ENSG00000230415"	"lincRNA"	"RP5-902P8.10"
"ENSG00000240731"	"sense_intronic"	"RP5-890O3.9"
"ENSG00000224870"	"processed_transcript"	"RP4-758J18.2"
"ENSG00000272455"	"lincRNA"	"RP4-758J18.13"
"ENSG00000225905"	"antisense"	"RP4-758J18.7"
"ENSG00000225285"	"lincRNA"	"RP4-758J18.10"
"ENSG00000215014"	"lincRNA"	"RP5-832C2.5"
"ENSG00000272106"	"antisense"	"RP11-345P4.9"
