probe_id,gsym,biotype
ASHG19A3A040626,DDX11L1,processed_transcript
ASHG19A3A013841,DDX11L1,processed_transcript
ASHG19A3A055124,DDX11L1,processed_transcript
ASHG19A3A038288,DDX11L1,transcribed_unprocessed_pseudogene
ASHG19A3A013854,DDX11L1,transcribed_unprocessed_pseudogene
ASHG19A3A054091,DDX11L1,transcribed_unprocessed_pseudogene
ASHG19A3A000399,WASH7P,unprocessed_pseudogene
ASHG19A3A016237,MIR1302-2HG,lincRNA
ASHG19A3A013857,MIR1302-2HG,lincRNA
ASHG19A3A037036,FAM138A,lincRNA
ASHG19A3A016235,FAM138A,lincRNA
ASHG19A3A013862,OR4G11P,processed_transcript
ASHG19A3A013862,OR4G11P,transcribed_unprocessed_pseudogene
ASHG19A3A011958,OR4F5,protein_coding
ASHG19A3A013866,OR4F5,protein_coding
ASHG19A3A042193,AL627309.1,lincRNA
ASHG19A3A029299,AL627309.1,lincRNA
ASHG19A3A054958,AL627309.1,lincRNA
ASHG19A3A015236,AL627309.1,lincRNA
ASHG19A3A035440,AL627309.1,lincRNA
ASHG19A3A030866,AL627309.1,lincRNA
ASHG19A3A020732,AL627309.1,lincRNA
ASHG19A3A013903,AL627309.1,lincRNA
ASHG19A3A024689,AL627309.1,lincRNA
ASHG19A3A018607,AL627309.1,lincRNA
ASHG19A3A015236,AL627309.3,lincRNA
ASHG19A3A035440,AL627309.3,lincRNA
ASHG19A3A030866,AL627309.3,lincRNA
ASHG19A3A015235,CICP27,processed_pseudogene
ASHG19A3A022183,CICP27,processed_pseudogene
ASHG19A3A027828,CICP27,processed_pseudogene
ASHG19A3A044834,CICP27,processed_pseudogene
ASHG19A3A035032,AL627309.6,processed_pseudogene
ASHG19A3A035619,AL627309.2,antisense
ASHG19A3A048403,AL627309.5,antisense
ASHG19A3A037533,AL627309.5,antisense
ASHG19A3A013876,AL627309.5,antisense
ASHG19A3A043209,AL627309.5,lincRNA
ASHG19A3A011567,AL627309.5,lincRNA
ASHG19A3A024661,AL627309.5,lincRNA
ASHG19A3A048738,AL627309.5,lincRNA
ASHG19A3A013874,AL627309.4,lincRNA
ASHG19A3A013956,AL627309.4,lincRNA
ASHG19A3A038288,FO538757.2,unprocessed_pseudogene
