EnsemblId,GeneName,Description,Entrez,Genbank,UniGene
ENSG00000213492,AC092661.2,,,,
ENSG00000161533,ACOX1,"acyl-CoA oxidase 1, palmitoyl [Source:HGNC Symbol;Acc:119]",51,,Hs.618977
ENSG00000184060,ADAP2,ArfGAP with dual PH domains 2 [Source:HGNC Symbol;Acc:16487],55803,ABB90599,Hs.628547
ENSG00000124942,AHNAK,AHNAK nucleoprotein [Source:HGNC Symbol;Acc:347],79026,AAH00926,Hs.703348
ENSG00000163568,AIM2,absent in melanoma 2 [Source:HGNC Symbol;Acc:357],9447,,Hs.733411
ENSG00000135334,AKIRIN2,akirin 2 [Source:HGNC Symbol;Acc:21407],55122,BAA91551,Hs.485915
ENSG00000128383,APOBEC3A,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A [Source:HGNC Symbol;Acc:17343]",200315,AAA03706,
ENSG00000128394,APOBEC3F,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F [Source:HGNC Symbol;Acc:17356]",200316,BAG57929,Hs.659809
ENSG00000239713,APOBEC3G,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G [Source:HGNC Symbol;Acc:17357]",60489,ACB72734,
ENSG00000145819,ARHGAP26,Rho GTPase activating protein 26 [Source:HGNC Symbol;Acc:17073],23092,ADI49692,Hs.713808
ENSG00000163512,AZI2,5-azacytidine induced 2 [Source:HGNC Symbol;Acc:24002],64343,AAO05967,Hs.714670
ENSG00000198604,BAZ1A,"bromodomain adjacent to zinc finger domain, 1A [Source:HGNC Symbol;Acc:960]",11177,,Hs.629054
ENSG00000023445,BIRC3,baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:591],330,,Hs.732738
ENSG00000106605,BLVRA,biliverdin reductase A [Source:HGNC Symbol;Acc:1062],644,,
ENSG00000171860,C3AR1,complement component 3a receptor 1 [Source:HGNC Symbol;Acc:1319],719,,Hs.591148
ENSG00000270024,C8orf44-SGK3,C8orf44-SGK3 readthrough [Source:HGNC Symbol;Acc:48354],23678,CAG38818,
ENSG00000204397,CARD16,"caspase recruitment domain family, member 16 [Source:HGNC Symbol;Acc:33701]",114769,,Hs.348365
ENSG00000137752,CASP1,"caspase 1, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1499]",834,BAG62650,Hs.2490
ENSG00000196954,CASP4,"caspase 4, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1505]",837,,Hs.682353
ENSG00000121691,CAT,catalase [Source:HGNC Symbol;Acc:1516],847,AAH27300,Hs.502302
ENSG00000112576,CCND3,cyclin D3 [Source:HGNC Symbol;Acc:1585],896,,Hs.597485
ENSG00000166946,CCNDBP1,cyclin D-type binding-protein 1 [Source:HGNC Symbol;Acc:1587],23582,,Hs.723766
ENSG00000163823,CCR1,chemokine (C-C motif) receptor 1 [Source:HGNC Symbol;Acc:1602],1230,AAV38711,Hs.610546
ENSG00000135218,CD36,CD36 molecule (thrombospondin receptor) [Source:HGNC Symbol;Acc:1663],948,ADI80545,Hs.736825
ENSG00000116815,CD58,CD58 molecule [Source:HGNC Symbol;Acc:1688],965,EAW56654,Hs.34341
ENSG00000114013,CD86,CD86 molecule [Source:HGNC Symbol;Acc:1705],942,,Hs.171182
ENSG00000129757,CDKN1C,"cyclin-dependent kinase inhibitor 1C (p57, Kip2) [Source:HGNC Symbol;Acc:1786]",1028,AAA85095,Hs.727251
ENSG00000110852,CLEC2B,"C-type lectin domain family 2, member B [Source:HGNC Symbol;Acc:2053]",9976,,
ENSG00000172243,CLEC7A,"C-type lectin domain family 7, member A [Source:HGNC Symbol;Acc:14558]",64581,BAH11976,
ENSG00000182372,CLN8,"ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation) [Source:HGNC Symbol;Acc:2079]",2055,AAF13115,Hs.127675
ENSG00000203710,CR1,complement component (3b/4b) receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:2334],1378,,Hs.334019
ENSG00000180871,CXCR2,chemokine (C-X-C motif) receptor 2 [Source:HGNC Symbol;Acc:6027],3579,AAY24026,Hs.846
ENSG00000165168,CYBB,"cytochrome b-245, beta polypeptide [Source:HGNC Symbol;Acc:2578]",1536,,Hs.292356
